Year,Temp_Diff,USA,UK,Russia
1880,-0.4,-0.170927535,-0.016270896,-0.040106966
1881,-0.35,-0.171953571,-0.016940181,-0.041266849
1882,-0.32,-0.172950872,-0.017318444,-0.042385221
1883,-0.39,-0.175419345,-0.019549015,-0.050084756
1884,-0.59,-0.173410389,-0.019682969,-0.050966029
1885,-0.6,-0.174333861,-0.01636761,-0.051871877
1886,-0.53,-0.175235132,-0.014784158,-0.05162762
1887,-0.47,-0.176113852,-0.013457768,-0.051431429
1888,-0.42,-0.176971721,-0.013833981,-0.048414115
1889,-0.27,-0.177809661,-0.013806611,-0.052457307
1890,-0.46,-0.178629802,-0.013585566,-0.052866539
1891,-0.41,-0.180891171,-0.013381036,-0.051640818
1892,-0.4,-0.18024497,-0.012397789,-0.050583247
1893,-0.47,-0.181025423,-0.011670533,-0.051441404
1894,-0.32,-0.177681556,-0.010599829,-0.050056699
1895,-0.37,-0.178434133,-0.009742098,-0.050100039
1896,-0.36,-0.179171192,-0.009111393,-0.050545109
1897,-0.33,-0.177321879,-0.008866946,-0.051021965
1898,-0.31,-0.08529945,-0.007237457,-0.051745086
1899,-0.21,-0.13344649,-0.007711217,-0.051846977
1900,-0.18,-0.121432047,0.013858443,-0.04223403
1901,-0.12,-0.12874166,0.017241744,-0.042892854
1902,-0.53,-0.130084173,0.013202544,-0.04267274
1903,-0.47,-0.13338889,0.003574343,-0.043512635
1904,-0.51,-0.132144432,0.002185634,-0.044335988
1905,-0.4,-0.133985029,-0.000367635,-0.007157
1906,-0.23,-0.132795767,-0.002260947,-0.042497448
1907,-0.58,-0.135538863,-0.004948839,-0.043426851
1908,-0.48,-0.126634396,-0.006155133,-0.038492051
1909,-0.49,-0.122227336,-0.003998737,-0.037870514
1910,-0.39,-0.124275272,-0.005787864,-0.040948946
1911,-0.38,-0.122629964,-0.005580742,-0.040085318
1912,-0.58,-0.120361493,0.012973917,-0.040935782
1913,-0.42,-0.120482664,0.013816245,-0.047495003
1914,-0.24,-0.117567492,0.013275583,-0.047184849
1915,-0.19,-0.115619963,0.134509821,0.026901435
1916,-0.3,-0.11467462,,0.06215883
1917,-0.42,-0.045830578,0.136911917,0.051520879
1918,-0.38,0.035689317,0.134392541,
1919,-0.41,-0.013908753,0.067019644,-0.029113535
1920,-0.2,-0.081313463,0.019254423,0.007841762
1921,0.04,-0.075640553,0.002355902,0.040306161
1922,-0.21,-0.095695007,-0.005807639,0.017817613
1923,-0.11,-0.101236822,-0.011049376,-0.010813507
1924,-0.11,-0.099084046,-0.011394574,-0.081704676
1925,-0.01,-0.101615643,-0.010713814,-0.082640263
1926,0.04,-0.103268672,-0.011065523,-0.083614515
1927,-0.12,-0.103425284,-0.011734434,-0.084635438
1928,-0.06,-0.103519194,-0.013293636,-0.085483131
1929,-0.35,-0.103111711,-0.01425871,-0.086284724
1930,0.07,-0.103395089,-0.015697234,-0.086894486
1931,0.02,-0.104357848,-0.015736929,-0.087393998
1932,0.04,-0.10635387,-0.016364831,-0.087780114
1933,-0.25,-0.106823371,-0.016735187,-0.063748306
1934,0.17,-0.106434875,-0.016528321,-0.060835148
1935,-0.03,-0.105653158,-0.016205078,-0.04392324
1936,-0.03,-0.098216661,-0.013836757,-0.04427251
1937,0.18,-0.094744468,-0.011738922,-0.039719365
1938,0.33,-0.093223559,-0.008812425,-0.035998899
1939,0.23,-0.091780159,-0.005521695,-0.029921091
1940,0.11,-0.075252968,0.047775546,0.00876889
1941,0.02,-0.002489638,0.093747306,0.008219536
1942,0.09,0.037701041,0.115463669,0.017257042
1943,0.32,0.082481158,0.126378696,0.020592995
1944,0.37,0.094439449,0.13556869,0.031362217
1945,0.08,0.096894558,0.137525761,0.070569694
1946,0.06,0.02246351,0.086221487,-0.013279167
1947,0.12,-0.013032767,0.060189311,-0.00911376
1948,0.13,-0.018838557,0.035406226,-0.006540536
1949,0.11,-0.013769337,0.029730437,0.005661444
1950,-0.09,-0.019900477,0.023173284,0.013630106
1951,0.08,0.021728608,0.033450296,0.020723786
1952,0.1,0.026858644,0.036344024,0.027673717
1953,0.34,0.024857577,0.035750889,0.0268579
1954,0.03,0.020097416,0.0338482,0.026029732
1955,0.03,0.013018049,0.031645529,0.025158933
1956,-0.24,0.009794203,0.027996974,0.017563255
1957,0.03,0.008742979,0.023232538,0.010174134
1958,0.11,0.000141256,0.015489707,0.001853955
1959,0.15,-0.00249101,0.010536754,-0.003172555
1960,0.09,-0.003734861,0.005528971,-0.004026129
1961,0.18,-0.00448892,0.000142394,-0.014355357
1962,0.29,0.005092252,-0.000301877,-0.015115943
1963,0.17,0.002373002,-0.003642224,-0.01393855
1964,-0.24,0.001466052,-0.005875192,-0.01457335
1965,-0.17,0.000349344,-0.007500406,-0.020963344
1966,-0.13,0.007654322,-0.007759,-0.005259397
1967,0.12,0.011834427,-0.00803617,-0.004404578
1968,-0.09,0.013927443,-0.010274172,-0.002272103
1969,-0.26,0.012120276,-0.013292641,-0.001463574
1970,-0.1,0.005319195,-0.013439559,-0.000676261
1971,-0.07,-0.001595933,-0.016643642,-0.006183387
1972,-0.35,-0.01032886,-0.016787,-0.005327897
1973,0.12,-0.013465097,-0.015843284,-0.00576135
1974,-0.17,-0.015322876,-0.018595808,-0.004919211
1975,0.11,-0.016953833,-0.020331291,-0.005351333
1976,-0.26,-0.017962735,-0.022122825,-0.004526066
1977,0.13,-0.018799829,-0.023960722,-0.008763195
1978,-0.03,-0.019283099,-0.024991704,-0.009161198
1979,-0.03,-0.020471892,-0.024347461,-0.009542597
1980,0.06,-0.020575621,-0.023394577,-0.009908154
1981,0.51,-0.019744082,-0.021575717,-0.010280625
1982,-0.07,-0.018551599,-0.022541914,-0.010674064
1983,0.23,-0.018181107,-0.022926815,-0.01109585
1984,0.02,-0.018083227,-0.022532111,-0.011520011
1985,-0.04,-0.017978257,-0.023015663,-0.011932258
1986,0.1,-0.017818884,-0.023659584,-0.012377137
1987,0.07,-0.017973263,-0.024299235,-0.012838888
1988,0.41,-0.019071838,-0.025108972,-0.013259266
1989,0.43,-0.019729854,-0.026319383,-0.016317794
1990,0.61,-0.021601214,-0.028273258,-0.019647881
1991,0.47,-0.023775436,-0.029754221,0.004054969
1992,0.07,-0.029141563,-0.031426439,-0.02024288
1993,0.13,-0.032665062,-0.035940402,-0.032755204
1994,0.43,-0.036021878,-0.039068671,-0.036366471
1995,0.7,-0.039175499,-0.044716246,-0.036305469
1996,0.26,-0.04121469,-0.047824107,-0.040234071
1997,0.55,-0.042976691,-0.04811933,-0.040034944
1998,0.81,-0.044646128,-0.04847005,-0.054087344
1999,0.73,-0.045680568,-0.048543873,-0.059615845
2000,0.71,-0.050486297,-0.050170596,-0.053720262
2001,0.8,-0.051451829,-0.050653169,-0.054872069
2002,0.83,-0.050531173,-0.051163227,-0.054134203
2003,0.82,-0.050450138,-0.050573838,-0.055407415
2004,0.75,-0.050013845,-0.051849553,-0.053170369
2005,0.99,-0.049563603,-0.052888153,-0.051056896
2006,0.94,-0.047522397,-0.050232403,-0.051503383
2007,1.08,-0.049272844,-0.057612665,-0.051483318
2008,0.86,-0.049952585,-0.060878681,-0.051491281
2009,0.73,-0.048936195,-0.068021695,-0.051495422
2010,0.97,-0.048008744,-0.063289402,-0.051472486
2011,0.91,-0.048896959,-0.062601282,-0.050439048
2012,,-0.049088533,-0.064121049,-0.055144237
